"id","name","base_experience","height","weight","type 1","type 2","ability 1","ability 2","ability 3","move1","move2","move3","move4","hp","attack","defence","special attack","special defence","speed"
131,"lapras",187,25,2200,"water","ice","water-absorb"," shell-armor"," hydration","headbutt"," horn-drill"," body-slam"," take-down",130,85,80,85,95,60
132,"ditto",101,3,40,"normal",NA,"limber"," imposter",NA,"transform",NA,NA,NA,48,48,48,48,48,48
133,"eevee",65,3,65,"normal",NA,"run-away"," adaptability"," anticipation","pay-day"," double-kick"," sand-attack"," headbutt",55,55,50,45,65,55
134,"vaporeon",184,10,290,"water",NA,"water-absorb"," hydration",NA,"pay-day"," double-kick"," sand-attack"," headbutt",130,65,60,110,95,65
135,"jolteon",184,8,245,"electric",NA,"volt-absorb"," quick-feet",NA,"pay-day"," double-kick"," sand-attack"," headbutt",65,65,60,110,95,130
136,"flareon",184,9,250,"fire",NA,"flash-fire"," guts",NA,"pay-day"," double-kick"," sand-attack"," headbutt",65,130,60,95,110,65
137,"porygon",79,8,365,"normal",NA,"trace"," download"," analytic","headbutt"," tackle"," take-down"," double-edge",65,60,70,85,75,40
138,"omanyte",71,4,75,"rock","water","swift-swim"," shell-armor"," weak-armor","bind"," slam"," sand-attack"," headbutt",35,40,100,90,55,35
139,"omastar",173,10,350,"rock","water","swift-swim"," shell-armor"," weak-armor","bind"," sand-attack"," headbutt"," horn-attack",70,60,125,115,70,55
140,"kabuto",71,5,115,"rock","water","swift-swim"," battle-armor"," weak-armor","scratch"," sand-attack"," headbutt"," body-slam",30,80,90,55,45,55
141,"kabutops",173,13,405,"rock","water","swift-swim"," battle-armor"," weak-armor","scratch"," razor-wind"," swords-dance"," cut",60,115,105,65,70,80
142,"aerodactyl",180,18,590,"rock","flying","rock-head"," pressure"," unnerve","razor-wind"," wing-attack"," whirlwind"," fly",80,105,65,60,75,130
143,"snorlax",189,21,4600,"normal",NA,"immunity"," thick-fat"," gluttony","mega-punch"," pay-day"," fire-punch"," ice-punch",160,110,65,65,110,30
144,"articuno",261,17,554,"ice","flying","pressure"," snow-cloak",NA,"razor-wind"," gust"," whirlwind"," fly",90,85,100,95,125,85
145,"zapdos",261,16,526,"electric","flying","pressure"," static",NA,"razor-wind"," whirlwind"," fly"," headbutt",90,90,85,125,90,100
146,"moltres",261,20,600,"fire","flying","pressure"," flame-body",NA,"razor-wind"," gust"," wing-attack"," whirlwind",90,100,90,125,85,90
147,"dratini",60,18,33,"dragon",NA,"shed-skin"," marvel-scale",NA,"bind"," slam"," headbutt"," body-slam",41,64,45,50,50,50
148,"dragonair",147,40,165,"dragon",NA,"shed-skin"," marvel-scale",NA,"bind"," slam"," headbutt"," horn-drill",61,84,65,70,70,70
149,"dragonite",270,22,2100,"dragon","flying","inner-focus"," multiscale",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",91,134,95,100,100,80
150,"mewtwo",306,20,1220,"psychic",NA,"pressure"," unnerve",NA,"mega-punch"," pay-day"," fire-punch"," ice-punch",106,110,90,154,90,130
151,"mew",270,4,40,"psychic",NA,"synchronize",NA,NA,"pound"," mega-punch"," pay-day"," fire-punch",100,100,100,100,100,100
152,"chikorita",64,9,64,"grass",NA,"overgrow"," leaf-guard",NA,"swords-dance"," cut"," vine-whip"," headbutt",45,49,65,49,65,45
153,"bayleef",142,12,158,"grass",NA,"overgrow"," leaf-guard",NA,"swords-dance"," cut"," vine-whip"," headbutt",60,62,80,63,80,60
154,"meganium",236,18,1005,"grass",NA,"overgrow"," leaf-guard",NA,"swords-dance"," cut"," vine-whip"," headbutt",80,82,100,83,100,80
155,"cyndaquil",62,5,79,"fire",NA,"blaze"," flash-fire",NA,"cut"," double-kick"," headbutt"," tackle",39,52,43,60,50,65
156,"quilava",142,9,190,"fire",NA,"blaze"," flash-fire",NA,"cut"," double-kick"," headbutt"," tackle",58,64,58,80,65,80
157,"typhlosion",240,17,795,"fire",NA,"blaze"," flash-fire",NA,"mega-punch"," fire-punch"," thunder-punch"," cut",78,84,78,109,85,100
158,"totodile",63,6,95,"water",NA,"torrent"," sheer-force",NA,"mega-punch"," ice-punch"," scratch"," razor-wind",50,65,64,44,48,43
159,"croconaw",142,11,250,"water",NA,"torrent"," sheer-force",NA,"mega-punch"," ice-punch"," scratch"," swords-dance",65,80,80,59,63,58
160,"feraligatr",239,23,888,"water",NA,"torrent"," sheer-force",NA,"mega-punch"," ice-punch"," scratch"," swords-dance",85,105,100,79,83,78
161,"sentret",43,8,60,"normal",NA,"run-away"," keen-eye"," frisk","fire-punch"," ice-punch"," thunder-punch"," scratch",35,46,34,35,45,20
162,"furret",145,18,325,"normal",NA,"run-away"," keen-eye"," frisk","fire-punch"," ice-punch"," thunder-punch"," scratch",85,76,64,45,55,90
163,"hoothoot",52,7,212,"normal","flying","insomnia"," keen-eye"," tinted-lens","wing-attack"," whirlwind"," fly"," tackle",60,30,30,36,56,50
164,"noctowl",158,16,408,"normal","flying","insomnia"," keen-eye"," tinted-lens","wing-attack"," whirlwind"," fly"," tackle",100,50,50,86,96,70
165,"ledyba",53,10,108,"bug","flying","swarm"," early-bird"," rattled","comet-punch"," mega-punch"," ice-punch"," thunder-punch",40,20,30,40,80,55
166,"ledian",137,14,356,"bug","flying","swarm"," early-bird"," iron-fist","comet-punch"," mega-punch"," ice-punch"," thunder-punch",55,35,50,55,110,85
167,"spinarak",50,5,85,"bug","poison","swarm"," insomnia"," sniper","body-slam"," double-edge"," poison-sting"," twineedle",40,60,40,40,40,30
168,"ariados",140,11,335,"bug","poison","swarm"," insomnia"," sniper","swords-dance"," body-slam"," double-edge"," poison-sting",70,90,70,60,70,40
169,"crobat",241,18,750,"poison","flying","inner-focus"," infiltrator",NA,"gust"," wing-attack"," fly"," double-edge",85,90,80,70,80,130
170,"chinchou",66,5,120,"water","electric","volt-absorb"," illuminate"," water-absorb","take-down"," double-edge"," supersonic"," mist",75,38,38,56,56,67
171,"lanturn",161,12,225,"water","electric","volt-absorb"," illuminate"," water-absorb","take-down"," double-edge"," supersonic"," mist",125,58,58,76,76,67
172,"pichu",41,3,20,"electric",NA,"static"," lightning-rod",NA,"double-slap"," mega-punch"," thunder-punch"," mega-kick",20,40,15,35,35,60
173,"cleffa",44,3,30,"fairy",NA,"cute-charm"," magic-guard"," friend-guard","pound"," mega-punch"," mega-kick"," headbutt",50,25,28,45,55,15
174,"igglybuff",42,3,10,"normal","fairy","cute-charm"," competitive"," friend-guard","pound"," mega-punch"," mega-kick"," headbutt",90,30,15,40,20,15
175,"togepi",49,3,15,"fairy",NA,"hustle"," serene-grace"," super-luck","pound"," mega-punch"," mega-kick"," headbutt",35,20,65,40,65,20
176,"togetic",142,6,32,"fairy","flying","hustle"," serene-grace"," super-luck","pound"," mega-punch"," fly"," mega-kick",55,40,85,80,105,40
177,"natu",64,2,20,"psychic","flying","synchronize"," early-bird"," magic-bounce","double-edge"," leer"," peck"," drill-peck",40,50,45,70,45,70
178,"xatu",165,15,150,"psychic","flying","synchronize"," early-bird"," magic-bounce","fly"," double-edge"," leer"," hyper-beam",65,75,70,95,70,95
179,"mareep",56,6,78,"electric",NA,"static"," plus",NA,"sand-attack"," headbutt"," tackle"," body-slam",55,40,40,65,45,35
180,"flaaffy",128,8,133,"electric",NA,"static"," plus",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",70,55,55,80,60,45
181,"ampharos",230,14,615,"electric",NA,"static"," plus",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",90,75,85,115,90,55
182,"bellossom",221,4,58,"grass",NA,"chlorophyll"," healer",NA,"swords-dance"," cut"," double-edge"," acid",75,80,95,90,100,50
183,"marill",88,4,85,"water","fairy","thick-fat"," huge-power"," sap-sipper","mega-punch"," ice-punch"," slam"," mega-kick",70,20,50,20,50,40
184,"azumarill",189,8,285,"water","fairy","thick-fat"," huge-power"," sap-sipper","mega-punch"," ice-punch"," slam"," mega-kick",100,50,80,60,80,50
185,"sudowoodo",144,12,380,"rock",NA,"sturdy"," rock-head"," rattled","mega-punch"," fire-punch"," ice-punch"," thunder-punch",70,100,115,30,65,30
186,"politoed",225,11,339,"water",NA,"water-absorb"," damp"," drizzle","pound"," double-slap"," mega-punch"," ice-punch",90,75,75,90,100,70
187,"hoppip",50,4,5,"grass","flying","chlorophyll"," leaf-guard"," infiltrator","pay-day"," swords-dance"," headbutt"," tackle",35,35,40,35,55,50
188,"skiploom",119,6,10,"grass","flying","chlorophyll"," leaf-guard"," infiltrator","swords-dance"," headbutt"," tackle"," take-down",55,45,50,45,65,80
